Key	Ligand	Receptor
A2M_LRP1	A2M	LRP1
AANAT_MTNR1A	AANAT	MTNR1A
AANAT_MTNR1B	AANAT	MTNR1B
ACE_AGTR2	ACE	AGTR2
ACE_BDKRB2	ACE	BDKRB2
ADAM10_AXL	ADAM10	AXL
ADAM10_EPHA3	ADAM10	EPHA3
ADAM12_ITGA9	ADAM12	ITGA9
ADAM12_ITGB1	ADAM12	ITGB1
ADAM12_SDC4	ADAM12	SDC4
ADAM15_ITGA5	ADAM15	ITGA5
ADAM15_ITGA9	ADAM15	ITGA9
ADAM15_ITGAV	ADAM15	ITGAV
ADAM15_ITGB1	ADAM15	ITGB1
ADAM15_ITGB3	ADAM15	ITGB3
ADAM17_ERBB4	ADAM17	ERBB4
ADAM17_ITGA5	ADAM17	ITGA5
ADAM17_ITGB1	ADAM17	ITGB1
ADAM17_NOTCH1	ADAM17	NOTCH1
ADAM23_ITGA5	ADAM23	ITGA5
ADAM23_ITGB3	ADAM23	ITGB3
ADAM28_ITGA4	ADAM28	ITGA4
ADAM2_CD9	ADAM2	CD9
ADAM2_ITGA6	ADAM2	ITGA6
ADAM2_ITGA9	ADAM2	ITGA9
ADAM2_ITGB1	ADAM2	ITGB1
ADAM2_ITGB7	ADAM2	ITGB7
ADAM9_ITGA3	ADAM9	ITGA3
ADAM9_ITGA6	ADAM9	ITGA6
ADAM9_ITGAV	ADAM9	ITGAV
ADAM9_ITGB1	ADAM9	ITGB1
ADAM9_ITGB5	ADAM9	ITGB5
ADCYAP1_ADCYAP1R1	ADCYAP1	ADCYAP1R1
ADCYAP1_SCTR	ADCYAP1	SCTR
ADCYAP1_VIPR1	ADCYAP1	VIPR1
ADCYAP1_VIPR2	ADCYAP1	VIPR2
ADIPOQ_ADIPOR1	ADIPOQ	ADIPOR1
ADIPOQ_ADIPOR2	ADIPOQ	ADIPOR2
ADM2_CALCR	ADM2	CALCR
ADM2_CALCRL	ADM2	CALCRL
ADM2_RAMP1	ADM2	RAMP1
ADM_CALCR	ADM	CALCR
ADM_CALCRL	ADM	CALCRL
ADM_GPR182	ADM	GPR182
ADM_MRGPRX2	ADM	MRGPRX2
ADM_RAMP2	ADM	RAMP2
AGRN_ATP1A3	AGRN	ATP1A3
AGRN_LRP4	AGRN	LRP4
AGRN_MUSK	AGRN	MUSK
AGRP_MC3R	AGRP	MC3R
AGRP_MC4R	AGRP	MC4R
AGRP_MC5R	AGRP	MC5R
AGRP_SDC3	AGRP	SDC3
AGT_AGTR1	AGT	AGTR1
AGT_AGTR2	AGT	AGTR2
AGT_LRP2	AGT	LRP2
AGT_MAS1	AGT	MAS1
AHSG_INSR	AHSG	INSR
ALB_LRP2	ALB	LRP2
ALOX5AP_ALOX5	ALOX5AP	ALOX5
AMELX_LAMP1	AMELX	LAMP1
AMELY_LAMP1	AMELY	LAMP1
AMH_ACVR1	AMH	ACVR1
AMH_AMHR2	AMH	AMHR2
AMH_EGFR	AMH	EGFR
ANGPT1_ITGA5	ANGPT1	ITGA5
ANGPT1_ITGB1	ANGPT1	ITGB1
ANGPT1_TEK	ANGPT1	TEK
ANGPT1_TIE1	ANGPT1	TIE1
ANGPT2_TEK	ANGPT2	TEK
ANGPT2_TIE1	ANGPT2	TIE1
ANGPT4_TEK	ANGPT4	TEK
ANGPT4_TIE1	ANGPT4	TIE1
ANGPTL1_TEK	ANGPTL1	TEK
ANGPTL2_TIE1	ANGPTL2	TIE1
ANGPTL3_ITGA5	ANGPTL3	ITGA5
ANGPTL3_ITGAV	ANGPTL3	ITGAV
ANGPTL3_ITGB3	ANGPTL3	ITGB3
ANGPTL4_TIE1	ANGPTL4	TIE1
ANXA1_DYSF	ANXA1	DYSF
ANXA1_EGFR	ANXA1	EGFR
ANXA1_FPR1	ANXA1	FPR1
ANXA1_FPR2	ANXA1	FPR2
ANXA1_FPR3	ANXA1	FPR3
APLN_APLNR	APLN	APLNR
APOB_CALCR	APOB	CALCR
APOB_ITGAM	APOB	ITGAM
APOB_ITGB2	APOB	ITGB2
APOB_LDLR	APOB	LDLR
APOB_LRP2	APOB	LRP2
APOB_LRP6	APOB	LRP6
APOB_LRP8	APOB	LRP8
APOB_LSR	APOB	LSR
APOB_OLR1	APOB	OLR1
APOC3_SDC2	APOC3	SDC2
APOC3_TLR2	APOC3	TLR2
APOD_LEPR	APOD	LEPR
APOE_CHRNA4	APOE	CHRNA4
APOE_LDLR	APOE	LDLR
APOE_LRP1	APOE	LRP1
APOE_LRP2	APOE	LRP2
APOE_LRP5	APOE	LRP5
APOE_LRP8	APOE	LRP8
APOE_SCARB1	APOE	SCARB1
APOE_SORL1	APOE	SORL1
APOE_VLDLR	APOE	VLDLR
APP_CAV1	APP	CAV1
APP_CD74	APP	CD74
APP_FPR2	APP	FPR2
APP_GPC1	APP	GPC1
APP_LRP1	APP	LRP1
APP_NCSTN	APP	NCSTN
APP_NGFR	APP	NGFR
APP_SLC45A3	APP	SLC45A3
APP_TNFRSF21	APP	TNFRSF21
AREGB_EGFR	AREGB	EGFR
AREGB_ERBB3	AREGB	ERBB3
AREG_EGFR	AREG	EGFR
AREG_ERBB3	AREG	ERBB3
ARF1_CHRM3	ARF1	CHRM3
ARF1_INSR	ARF1	INSR
ARF1_PLD2	ARF1	PLD2
ARTN_GFRA1	ARTN	GFRA1
ARTN_GFRA3	ARTN	GFRA3
ARTN_RET	ARTN	RET
ASIP_ATRN	ASIP	ATRN
ASIP_F11R	ASIP	F11R
ASIP_MC1R	ASIP	MC1R
ASIP_MC2R	ASIP	MC2R
ASIP_MC3R	ASIP	MC3R
ASIP_MC4R	ASIP	MC4R
ASIP_MC5R	ASIP	MC5R
ASIP_MGRN1	ASIP	MGRN1
AVP_AVPR1A	AVP	AVPR1A
AVP_AVPR1B	AVP	AVPR1B
AVP_AVPR2	AVP	AVPR2
AVP_OXTR	AVP	OXTR
AZGP1_ITGAV	AZGP1	ITGAV
B2M_CD1A	B2M	CD1A
B2M_CD1B	B2M	CD1B
B2M_CD247	B2M	CD247
B2M_CD3D	B2M	CD3D
B2M_CD3G	B2M	CD3G
B2M_HFE	B2M	HFE
B2M_HLA-F	B2M	HLA-F
B2M_KIR2DL1	B2M	KIR2DL1
B2M_KIR2DL3	B2M	KIR2DL3
B2M_KIR3DL1	B2M	KIR3DL1
B2M_KLRC1	B2M	KLRC1
B2M_KLRD1	B2M	KLRD1
B2M_LILRB1	B2M	LILRB1
B2M_LILRB2	B2M	LILRB2
B2M_TFRC	B2M	TFRC
BCAN_EGFR	BCAN	EGFR
BCAN_NRCAM	BCAN	NRCAM
BDNF_DDR1	BDNF	DDR1
BDNF_DRD4	BDNF	DRD4
BDNF_NGFR	BDNF	NGFR
BDNF_NGFRAP1	BDNF	NGFRAP1
BDNF_NTRK2	BDNF	NTRK2
BDNF_SORT1	BDNF	SORT1
BGN_LY96	BGN	LY96
BGN_TLR1	BGN	TLR1
BGN_TLR2	BGN	TLR2
BGN_TLR4	BGN	TLR4
BMP10_ACVR1	BMP10	ACVR1
BMP10_ACVR2A	BMP10	ACVR2A
BMP10_ACVR2B	BMP10	ACVR2B
BMP10_ACVRL1	BMP10	ACVRL1
