TF	Targets	Key	Mode
AATF	BAX	AATF_BAX	unknown
AATF	CDKN1A	AATF_CDKN1A	unknown
AATF	KLK3	AATF_KLK3	unknown
AATF	MYC	AATF_MYC	unknown
AATF	TP53	AATF_TP53	unknown
ABL1	BAX	ABL1_BAX	unknown
ABL1	BCL2	ABL1_BCL2	unknown
ABL1	BCL6	ABL1_BCL6	unknown
ABL1	CCND2	ABL1_CCND2	unknown
ABL1	CDKN1A	ABL1_CDKN1A	unknown
ABL1	CSF1	ABL1_CSF1	unknown
ABL1	FOXO3	ABL1_FOXO3	unknown
ABL1	JUN	ABL1_JUN	unknown
ABL1	PIM1	ABL1_PIM1	unknown
ABL1	TP53	ABL1_TP53	unknown
AES	EPHA3	AES_EPHA3	unknown
AES	LEF1	AES_LEF1	unknown
AES	RND3	AES_RND3	unknown
AHR	ABCG2	AHR_ABCG2	unknown
AHR	AHRR	AHR_AHRR	unknown
AHR	ARNT	AHR_ARNT	unknown
AHR	BRCA1	AHR_BRCA1	unknown
AHR	CA9	AHR_CA9	unknown
AHR	CCND1	AHR_CCND1	unknown
AHR	CCNG2	AHR_CCNG2	unknown
AHR	CYP1A1	AHR_CYP1A1	unknown
AHR	CYP1A2	AHR_CYP1A2	unknown
AHR	CYP1B1	AHR_CYP1B1	unknown
AHR	CYP2B6	AHR_CYP2B6	unknown
AHR	FOS	AHR_FOS	unknown
AHR	IL13	AHR_IL13	unknown
AHR	IL1B	AHR_IL1B	unknown
AHR	IL6	AHR_IL6	unknown
AHR	MFSD2A	AHR_MFSD2A	unknown
AHR	MT2A	AHR_MT2A	unknown
AHR	MYC	AHR_MYC	unknown
AHR	PCNA	AHR_PCNA	unknown
AHR	RFC3	AHR_RFC3	unknown
AHR	UGT1A1	AHR_UGT1A1	unknown
AHR	UGT1A6	AHR_UGT1A6	unknown
AIP	AHR	AIP_AHR	unknown
AIP	GREB1	AIP_GREB1	unknown
AIP	NFKB2	AIP_NFKB2	unknown
AIP	RSF1	AIP_RSF1	unknown
AIP	TFF1	AIP_TFF1	unknown
AIRE	CHRNA1	AIRE_CHRNA1	unknown
ANKRD1	NPPA	ANKRD1_NPPA	unknown
APBB1	GMPS	APBB1_GMPS	unknown
APC	AKT1	APC_AKT1	unknown
APC	AMHR2	APC_AMHR2	unknown
APC	BIRC5	APC_BIRC5	unknown
APC	DLG1	APC_DLG1	unknown
APC	DNMT1	APC_DNMT1	unknown
APC	F8	APC_F8	unknown
APC	KLF4	APC_KLF4	unknown
APC	MYC	APC_MYC	unknown
APC	NOS2	APC_NOS2	unknown
APC	ODC1	APC_ODC1	unknown
APC	PTGS2	APC_PTGS2	unknown
APC	SGK1	APC_SGK1	unknown
APEX1	CCL2	APEX1_CCL2	unknown
APEX1	CD19	APEX1_CD19	unknown
APEX1	CYP11B2	APEX1_CYP11B2	unknown
APEX1	NFKB1	APEX1_NFKB1	unknown
APEX1	PTH	APEX1_PTH	unknown
APEX1	RELA	APEX1_RELA	unknown
APEX1	SLC5A5	APEX1_SLC5A5	unknown
AR	ACTA1	AR_ACTA1	unknown
AR	AKR1C3	AR_AKR1C3	unknown
AR	AKT1	AR_AKT1	unknown
AR	ALDH1A3	AR_ALDH1A3	unknown
AR	ARG1	AR_ARG1	unknown
AR	ARG2	AR_ARG2	unknown
AR	ATAD2	AR_ATAD2	unknown
AR	BSG	AR_BSG	unknown
AR	BTG1	AR_BTG1	unknown
AR	BTG2	AR_BTG2	unknown
AR	CDK20	AR_CDK20	unknown
AR	CDC6	AR_CDC6	unknown
AR	CDH1	AR_CDH1	unknown
AR	CDH11	AR_CDH11	unknown
AR	CDH2	AR_CDH2	unknown
AR	CDK6	AR_CDK6	unknown
AR	CDKN1A	AR_CDKN1A	unknown
AR	CLK3	AR_CLK3	unknown
AR	CRH	AR_CRH	unknown
AR	CRISP1	AR_CRISP1	unknown
AR	CRISP3	AR_CRISP3	unknown
AR	CTNNB1	AR_CTNNB1	unknown
AR	CYP7B1	AR_CYP7B1	unknown
AR	EGFR	AR_EGFR	unknown
AR	ELK4	AR_ELK4	unknown
AR	EP300	AR_EP300	unknown
AR	ERBB2	AR_ERBB2	unknown
AR	ERBB3	AR_ERBB3	unknown
AR	ETV1	AR_ETV1	unknown
AR	FKBP4	AR_FKBP4	unknown
AR	FN1	AR_FN1	unknown
AR	FOLH1	AR_FOLH1	unknown
AR	FOXA1	AR_FOXA1	unknown
AR	GNMT	AR_GNMT	unknown
AR	GREB1	AR_GREB1	unknown
AR	GTF2F1	AR_GTF2F1	unknown
AR	HMMR	AR_HMMR	unknown
AR	HMOX1	AR_HMOX1	unknown
AR	IFI16	AR_IFI16	unknown
AR	IGF1R	AR_IGF1R	unknown
AR	IGFBP3	AR_IGFBP3	unknown
AR	JUN	AR_JUN	unknown
AR	KISS1	AR_KISS1	unknown
AR	KISS1R	AR_KISS1R	unknown
AR	KLF5	AR_KLF5	unknown
AR	KLK1	AR_KLK1	unknown
AR	KLK2	AR_KLK2	unknown
AR	KLK3	AR_KLK3	unknown
AR	KLK4	AR_KLK4	unknown
AR	MED1	AR_MED1	unknown
AR	MID1	AR_MID1	unknown
AR	MUC1	AR_MUC1	unknown
AR	MYC	AR_MYC	unknown
AR	NAT1	AR_NAT1	unknown
AR	NDRG1	AR_NDRG1	unknown
AR	NFKB1	AR_NFKB1	unknown
AR	NKX3-1	AR_NKX3-1	unknown
AR	NOV	AR_NOV	unknown
AR	NRAS	AR_NRAS	unknown
AR	PC	AR_PC	unknown
AR	PSCA	AR_PSCA	unknown
AR	PEBP1	AR_PEBP1	unknown
AR	PIGR	AR_PIGR	unknown
AR	PIP	AR_PIP	unknown
AR	PMEPA1	AR_PMEPA1	unknown
AR	PNRC1	AR_PNRC1	unknown
AR	PTEN	AR_PTEN	unknown
AR	PTGS2	AR_PTGS2	unknown
AR	PTPN1	AR_PTPN1	unknown
AR	RELA	AR_RELA	unknown
AR	REST	AR_REST	unknown
AR	SEPT7	AR_7-Sep	unknown
AR	SERPINB5	AR_SERPINB5	unknown
AR	SESN1	AR_SESN1	unknown
AR	SRD5A3	AR_SRD5A3	unknown
AR	STIM1	AR_STIM1	unknown
AR	TBP	AR_TBP	unknown
AR	TCF7L2	AR_TCF7L2	unknown
AR	TGFA	AR_TGFA	unknown
AR	TH	AR_TH	unknown
AR	TJP1	AR_TJP1	unknown
AR	TMPRSS2	AR_TMPRSS2	unknown
AR	TRPS1	AR_TRPS1	unknown
AR	TSC1	AR_TSC1	unknown
AR	TSC2	AR_TSC2	unknown
AR	UCN	AR_UCN	unknown
AR	UGT2B15	AR_UGT2B15	unknown
AR	USP26	AR_USP26	unknown
AR	VEGFA	AR_VEGFA	unknown
AR	VIM	AR_VIM	unknown
AR	WEE1	AR_WEE1	unknown
AR	WNT7B	AR_WNT7B	unknown
AR	XIAP	AR_XIAP	unknown
ARID1A	CDKN1A	ARID1A_CDKN1A	unknown
ARID1A	IGH	ARID1A_IGH	unknown
ARID1A	SMAD3	ARID1A_SMAD3	unknown
ARID1B	IGH	ARID1B_IGH	unknown
ARID3A	CDC6	ARID3A_CDC6	unknown
ARID3A	CDK1	ARID3A_CDK1	unknown
ARID3A	CR2	ARID3A_CR2	unknown
ARID3A	E2F1	ARID3A_E2F1	unknown
ARID3A	PML	ARID3A_PML	unknown
ARID3A	RBL1	ARID3A_RBL1	unknown
ARNT	AHR	ARNT_AHR	unknown
ARNT	BHLHE40	ARNT_BHLHE40	unknown
ARNT	BRCA1	ARNT_BRCA1	unknown
ARNT	CA9	ARNT_CA9	unknown
ARNT	CCNE1	ARNT_CCNE1	unknown
ARNT	CDK2	ARNT_CDK2	unknown
ARNT	CTSD	ARNT_CTSD	unknown
ARNT	CYP1A1	ARNT_CYP1A1	unknown
ARNT	CYP1B1	ARNT_CYP1B1	unknown
ARNT	EGLN2	ARNT_EGLN2	unknown
ARNT	EPO	ARNT_EPO	unknown
ARNT	ESR1	ARNT_ESR1	unknown
ARNT	FOS	ARNT_FOS	unknown
ARNT	GAD1	ARNT_GAD1	unknown
ARNT	HIF1A	ARNT_HIF1A	unknown
ARNT	JUN	ARNT_JUN	unknown
ARNT	MFSD2A	ARNT_MFSD2A	unknown
ARNT	RELB	ARNT_RELB	unknown
ARNT	UGT1A6	ARNT_UGT1A6	unknown
ARNT	VEGFA	ARNT_VEGFA	unknown
ARNTL	BHLHE40	ARNTL_BHLHE40	unknown
ARNTL	CRY1	ARNTL_CRY1	unknown
ARNTL	CRY2	ARNTL_CRY2	unknown
ARNTL	PER1	ARNTL_PER1	unknown
ARNTL	PER2	ARNTL_PER2	unknown
ARNTL	PER3	ARNTL_PER3	unknown
ARNTL2	SERPINE1	ARNTL2_SERPINE1	unknown
ARX	KDM5C	ARX_KDM5C	unknown
ARX	LMO1	ARX_LMO1	unknown
ARX	PAX4	ARX_PAX4	unknown
ARX	SHOX2	ARX_SHOX2	unknown
ASCL1	CHRNA3	ASCL1_CHRNA3	unknown
