"Barcode"	"Cluster"
"A01_F07_P4-D10_LIG129_1_1"	"A01_F07_P4-D10_LIG129_1_1"	"SRI"
"B05_C05_P4-D10_LIG303_1_1"	"B05_C05_P4-D10_LIG303_1_1"	"SRI"
"A06_E03_P1-F05_LIG289_2_1"	"A06_E03_P1-F05_LIG289_2_1"	"SRI"
"A06_E05_P1-F05_LIG66_2_1"	"A06_E05_P1-F05_LIG66_2_1"	"SRI"
"A11_F10_P1-F06_LIG230_2_1"	"A11_F10_P1-F06_LIG230_2_1"	"SRI"
"A12_G06_P1-F06_LIG114_2_1"	"A12_G06_P1-F06_LIG114_2_1"	"SRI"
"A12_G11_P1-F07_LIG3_2_1"	"A12_G11_P1-F07_LIG3_2_1"	"SRI"
"B02_B01_P1-F08_LIG43_2_1"	"B02_B01_P1-F08_LIG43_2_1"	"SRI"
"B02_B12_P1-F08_LIG172_2_1"	"B02_B12_P1-F08_LIG172_2_1"	"SRI"
"B03_C11_P1-F06_LIG190_2_1"	"B03_C11_P1-F06_LIG190_2_1"	"SRI"
"B05_D07_P1-F06_LIG259_2_1"	"B05_D07_P1-F06_LIG259_2_1"	"SRI"
"B06_E03_P1-F05_LIG375_2_1"	"B06_E03_P1-F05_LIG375_2_1"	"SRI"
"B10_A11_P1-F08_LIG315_2_1"	"B10_A11_P1-F08_LIG315_2_1"	"SRI"
"B11_F08_P1-F06_LIG345_2_1"	"B11_F08_P1-F06_LIG345_2_1"	"SRI"
"C10_A11_P1-F06_LIG2_2_1"	"C10_A11_P1-F06_LIG2_2_1"	"SRI"
"D11_F10_P1-F08_LIG69_2_1"	"D11_F10_P1-F08_LIG69_2_1"	"SRI"
"E06_E07_P1-F05_LIG196_2_1"	"E06_E07_P1-F05_LIG196_2_1"	"SRI"
"E10_A09_P1-F07_LIG38_2_1"	"E10_A09_P1-F07_LIG38_2_1"	"SRI"
"E11_B07_P1-F07_LIG333_2_1"	"E11_B07_P1-F07_LIG333_2_1"	"SRI"
"F05_D09_P1-F08_LIG120_2_1"	"F05_D09_P1-F08_LIG120_2_1"	"SRI"
"F06_E04_P1-F07_LIG381_2_1"	"F06_E04_P1-F07_LIG381_2_1"	"SRI"
"F11_F02_P1-F07_LIG232_2_1"	"F11_F02_P1-F07_LIG232_2_1"	"SRI"
"F11_F06_P1-F05_LIG74_2_1"	"F11_F06_P1-F05_LIG74_2_1"	"SRI"
"F12_G11_P1-F05_LIG260_2_1"	"F12_G11_P1-F05_LIG260_2_1"	"SRI"
"G02_B10_P1-F07_LIG218_2_1"	"G02_B10_P1-F07_LIG218_2_1"	"SRI"
"H05_D04_P1-F07_LIG181_2_1"	"H05_D04_P1-F07_LIG181_2_1"	"SRI"
"H12_G07_P1-F05_LIG122_2_1"	"H12_G07_P1-F05_LIG122_2_1"	"SRI"
"A02_B07_P1-H07_LIG341_3_1"	"A02_B07_P1-H07_LIG341_3_1"	"SRI"
"A02_B10_P3-H05_LIG295_3_1"	"A02_B10_P3-H05_LIG295_3_1"	"SRI"
"A05_D05_P1-H08_LIG276_3_1"	"A05_D05_P1-H08_LIG276_3_1"	"SRI"
"A11_B09_P1-H07_LIG107_3_1"	"A11_B09_P1-H07_LIG107_3_1"	"SRI"
"A12_G04_P1-H07_LIG281_3_1"	"A12_G04_P1-H07_LIG281_3_1"	"SRI"
"A12_G11_P3-H05_LIG288_3_1"	"A12_G11_P3-H05_LIG288_3_1"	"SRI"
"B02_B04_P1-H07_LIG202_3_1"	"B02_B04_P1-H07_LIG202_3_1"	"SRI"
"B02_B04_P3-H05_LIG70_3_1"	"B02_B04_P3-H05_LIG70_3_1"	"SRI"
"B02_B10_P1-H08_LIG329_3_1"	"B02_B10_P1-H08_LIG329_3_1"	"SRI"
"B02_B12_P3-H05_LIG123_3_1"	"B02_B12_P3-H05_LIG123_3_1"	"SRI"
"B03_C03_P3-H05_LIG150_3_1"	"B03_C03_P3-H05_LIG150_3_1"	"SRI"
"B03_C10_P1-H08_LIG286_3_1"	"B03_C10_P1-H08_LIG286_3_1"	"SRI"
"B06_E07_P1-H08_LIG184_3_1"	"B06_E07_P1-H08_LIG184_3_1"	"SRI"
"B06_E12_P3-H05_LIG75_3_1"	"B06_E12_P3-H05_LIG75_3_1"	"SRI"
"B10_A09_P1-H07_LIG58_3_1"	"B10_A09_P1-H07_LIG58_3_1"	"SRI"
"B11_B04_P3-H05_LIG369_3_1"	"B11_B04_P3-H05_LIG369_3_1"	"SRI"
"B11_B12_P1-H07_LIG264_3_1"	"B11_B12_P1-H07_LIG264_3_1"	"SRI"
"C02_B06_P3-H05_LIG160_3_1"	"C02_B06_P3-H05_LIG160_3_1"	"SRI"
"C03_C04_P3-H05_LIG237_3_1"	"C03_C04_P3-H05_LIG237_3_1"	"SRI"
"C06_E01_P1-H08_LIG362_3_1"	"C06_E01_P1-H08_LIG362_3_1"	"SRI"
"C11_B01_P3-H05_LIG337_3_1"	"C11_B01_P3-H05_LIG337_3_1"	"SRI"
