"Pair.Name","Ligand.ApprovedSymbol","Ligand.Name","Receptor.ApprovedSymbol","Receptor.Name","DLRP","HPMR","IUPHAR","HPRD","HPMR.Ligand","HPMR.Receptor","Pair.Source","Pair.Evidence","pathway_name","annotation","match_status"
"AREG_EGFR","AREG","amphiregulin","EGFR","epidermal growth factor receptor","DLRP","HPMR","IUPHAR","HPRD","AREG","EGFR","known","literature supported","EGF","Secreted Signaling","matched"
"ARTN_GFRA1","ARTN","artemin","GFRA1","GDNF family receptor alpha 1",NA,NA,NA,NA,"ARTN","GFRA1","novel","literature supported","GDNF","Secreted Signaling","matched"
"ARTN_GFRA3","ARTN","artemin","GFRA3","GDNF family receptor alpha 3",NA,"HPMR",NA,"HPRD","ARTN","GFRA3","known","literature supported","GDNF","Secreted Signaling","matched"
"ARTN_RET","ARTN","artemin","RET","ret proto-oncogene",NA,"HPMR",NA,NA,"ARTN","RET","known","literature supported","GDNF","Secreted Signaling","matched"
"BDNF_NGFR","BDNF","brain-derived neurotrophic factor","NGFR","nerve growth factor receptor","DLRP",NA,"IUPHAR",NA,"BDNF","NGFR","known","literature supported","NT","Secreted Signaling","matched"
"BDNF_NTRK2","BDNF","brain-derived neurotrophic factor","NTRK2","neurotrophic tyrosine kinase, receptor, type 2","DLRP","HPMR",NA,"HPRD","BDNF","NTRK2","known","literature supported","NT","Secreted Signaling","matched"
"BDNF_SORT1","BDNF","brain-derived neurotrophic factor","SORT1","sortilin 1",NA,NA,NA,"HPRD","BDNF","SORT1","novel","literature supported","NT","Secreted Signaling","matched"
"BMP10_ACVR2A","BMP10","bone morphogenetic protein 10","ACVR2A","activin A receptor, type IIA","DLRP","HPMR",NA,NA,"BMP10","ACVR2A","known","literature supported","BMP10","Secreted Signaling","matched"
"BMP10_ACVRL1","BMP10","bone morphogenetic protein 10","ACVRL1","activin A receptor type II-like 1",NA,"HPMR",NA,NA,"BMP10","ACVRL1","known","literature supported","BMP10","Secreted Signaling","matched"
"BMP10_BMPR2","BMP10","bone morphogenetic protein 10","BMPR2","bone morphogenetic protein receptor, type II (serine/threonine kinase)","DLRP","HPMR",NA,NA,"BMP10","BMPR2","known","literature supported","BMP10","Secreted Signaling","matched"
