"zebrafish_ensembl","zebrafish_symbol","human_ensembl","human_symbol","orthology_type"
"ENSDARG00000000001","SLC35A5","ENSG00000138459","SLC35A5","ortholog_one2one"
"ENSDARG00000000018","NRF1","ENSG00000106459","NRF1","ortholog_one2one"
"ENSDARG00000000019","UBE2H","ENSG00000186591","UBE2H","ortholog_one2one"
"ENSDARG00000000068","NHERF1A","ENSG00000109062","NHERF1","ortholog_one2many"
"ENSDARG00000000069","DAP","ENSG00000112977","DAP","ortholog_one2one"
"ENSDARG00000000086","ITSN1","ENSG00000205726","ITSN1","ortholog_one2one"
"ENSDARG00000000103","MYH10","ENSG00000133026","MYH10","ortholog_one2one"
"ENSDARG00000000142","TMEM267","ENSG00000151881","TMEM267","ortholog_one2one"
"ENSDARG00000000151","THRAA","ENSG00000126351","THRA","ortholog_one2many"
"ENSDARG00000000161","ITSN2A","ENSG00000198399","ITSN2","ortholog_one2many"
"ENSDARG00000000175","HOXB2A","ENSG00000173917","HOXB2","ortholog_one2one"
"ENSDARG00000000183","PTPN4B","ENSG00000088179","PTPN4","ortholog_one2many"
"ENSDARG00000000189","SEMA6CB","ENSG00000143434","SEMA6C","ortholog_one2many"
"ENSDARG00000000229","USP49","ENSG00000164663","USP49","ortholog_one2one"
"ENSDARG00000000241","SLC40A1","ENSG00000138449","SLC40A1","ortholog_one2one"
"ENSDARG00000000324","DCAF8","ENSG00000189186","DCAF8L2","ortholog_one2many"
"ENSDARG00000000324","DCAF8","ENSG00000132716","DCAF8","ortholog_one2many"
"ENSDARG00000000324","DCAF8","ENSG00000226372","DCAF8L1","ortholog_one2many"
"ENSDARG00000000349","CFAP300","ENSG00000137691","CFAP300","ortholog_one2one"
"ENSDARG00000000369","PRKAG3B","ENSG00000115592","PRKAG3","ortholog_one2many"
"ENSDARG00000000380","PDE6A","ENSG00000133256","PDE6B","ortholog_one2many"
"ENSDARG00000000442","SLC39A13","ENSG00000165915","SLC39A13","ortholog_one2one"
"ENSDARG00000000474","TNNI1A","ENSG00000159173","TNNI1","ortholog_one2many"
"ENSDARG00000000476","PMS1","ENSG00000064933","PMS1","ortholog_one2one"
"ENSDARG00000000489","UPF3B","ENSG00000125351","UPF3B","ortholog_one2one"
"ENSDARG00000000503","STX1B","ENSG00000099365","STX1B","ortholog_one2one"
"ENSDARG00000000516","ANKAR","ENSG00000151687","ANKAR","ortholog_one2one"
"ENSDARG00000000529","OFD1","ENSG00000046651","OFD1","ortholog_one2one"
"ENSDARG00000000540","ASNSD1","ENSG00000138381","ASNSD1","ortholog_one2one"
"ENSDARG00000000542","GTF2E1","ENSG00000153767","GTF2E1","ortholog_one2one"
"ENSDARG00000000551","SLC1A4","ENSG00000115902","SLC1A4","ortholog_one2one"
"ENSDARG00000000567","ZNF281A","ENSG00000162702","ZNF281","ortholog_one2many"
"ENSDARG00000000568","ELL","ENSG00000105656","ELL","ortholog_one2one"
"ENSDARG00000000588","TAMALIN","ENSG00000161835","TAMALIN","ortholog_one2one"
"ENSDARG00000000606","DNAH6","ENSG00000115423","DNAH6","ortholog_one2one"
"ENSDARG00000000631","PTPN4A","ENSG00000088179","PTPN4","ortholog_one2many"
"ENSDARG00000000651","OSGEPL1","ENSG00000128694","OSGEPL1","ortholog_one2one"
"ENSDARG00000000656","PSMB9A","ENSG00000240065","PSMB9","ortholog_one2one"
"ENSDARG00000000666","CREG2","ENSG00000175874","CREG2","ortholog_one2one"
"ENSDARG00000000690","SYPL2B","ENSG00000143028","SYPL2","ortholog_one2many"
"ENSDARG00000000729","DAXX","ENSG00000204209","DAXX","ortholog_one2one"
"ENSDARG00000000747","LCMT2","ENSG00000168806","LCMT2","ortholog_one2one"
"ENSDARG00000000760","ZNF511","ENSG00000198546","ZNF511","ortholog_one2one"
"ENSDARG00000000767","SPI1B","ENSG00000066336","SPI1","ortholog_one2one"
"ENSDARG00000000779","SCFD1","ENSG00000092108","SCFD1","ortholog_one2one"
"ENSDARG00000000796","NR4A1","ENSG00000123358","NR4A1","ortholog_one2one"
"ENSDARG00000000804","RASSF6","ENSG00000169435","RASSF6","ortholog_one2one"
"ENSDARG00000000830","TELO2","ENSG00000100726","TELO2","ortholog_one2one"
"ENSDARG00000000837","SNX9A","ENSG00000130340","SNX9","ortholog_one2many"
"ENSDARG00000000853","DSTYK","ENSG00000133059","DSTYK","ortholog_one2one"
"ENSDARG00000000857","MAPK14A","ENSG00000112062","MAPK14","ortholog_one2many"
"ENSDARG00000000861","SCRIB","ENSG00000180900","SCRIB","ortholog_one2one"
"ENSDARG00000000887","GTSF1","ENSG00000124196","GTSF1L","ortholog_many2many"
"ENSDARG00000000906","SKAP2","ENSG00000005020","SKAP2","ortholog_one2one"
"ENSDARG00000000935","UNK","ENSG00000132478","UNK","ortholog_one2one"
"ENSDARG00000000943","DZIP1","ENSG00000134874","DZIP1","ortholog_one2one"
"ENSDARG00000000966","NCOR2","ENSG00000196498","NCOR2","ortholog_one2one"
"ENSDARG00000001014","MYH9B","ENSG00000100345","MYH9","ortholog_one2many"
"ENSDARG00000001015","ZNF384A","ENSG00000126746","ZNF384","ortholog_one2many"
"ENSDARG00000001057","BYSL","ENSG00000112578","BYSL","ortholog_one2one"
"ENSDARG00000001127","SLC17A6A","ENSG00000091664","SLC17A6","ortholog_one2many"
"ENSDARG00000001129","DICER1","ENSG00000100697","DICER1","ortholog_one2one"
"ENSDARG00000001154","RIMBP2B","ENSG00000060709","RIMBP2","ortholog_one2many"
"ENSDARG00000001169","HSD17B8","ENSG00000204228","HSD17B8","ortholog_one2one"
"ENSDARG00000001210","ARL14EP","ENSG00000152219","ARL14EP","ortholog_one2one"
"ENSDARG00000001220","MYCBP2","ENSG00000005810","MYCBP2","ortholog_one2one"
"ENSDARG00000001241","PUF60B","ENSG00000179950","PUF60","ortholog_one2many"
"ENSDARG00000001249","PCGF1","ENSG00000115289","PCGF1","ortholog_one2one"
"ENSDARG00000001259","GAS2A","ENSG00000148935","GAS2","ortholog_one2one"
"ENSDARG00000001303","PSMB8A","ENSG00000204264","PSMB8","ortholog_one2one"
"ENSDARG00000001313","G2E3","ENSG00000010318","PHF7","ortholog_many2many"
"ENSDARG00000001313","G2E3","ENSG00000092140","G2E3","ortholog_many2many"
"ENSDARG00000001414","MCTP2A","ENSG00000140563","MCTP2","ortholog_one2many"
"ENSDARG00000001431","ACTN3B","ENSG00000248746","ACTN3","ortholog_one2many"
"ENSDARG00000001437","SLC2A1A","ENSG00000117394","SLC2A1","ortholog_one2many"
"ENSDARG00000001442","INPPL1B","ENSG00000198574","SH2D1B","ortholog_many2many"
"ENSDARG00000001447","MIER1B","ENSG00000198160","MIER1","ortholog_one2many"
"ENSDARG00000001452","ADAM8A","ENSG00000151651","ADAM8","ortholog_one2many"
"ENSDARG00000001463","TDH2","ENSG00000203859","HSD3B2","ortholog_many2many"
"ENSDARG00000001463","TDH2","ENSG00000203857","HSD3B1","ortholog_many2many"
"ENSDARG00000001498","SKAP1","ENSG00000141293","SKAP1","ortholog_one2one"
"ENSDARG00000001549","SP3A","ENSG00000172845","SP3","ortholog_one2many"
"ENSDARG00000001558","KIFC1","ENSG00000237649","KIFC1","ortholog_one2one"
"ENSDARG00000001559","CSMD2","ENSG00000117322","CR2","ortholog_one2one"
"ENSDARG00000001578","ECHS1","ENSG00000127884","ECHS1","ortholog_one2one"
"ENSDARG00000001621","NFYAL","ENSG00000001167","NFYA","ortholog_one2many"
"ENSDARG00000001634","KIRREL1A","ENSG00000183853","KIRREL1","ortholog_one2many"
"ENSDARG00000001676","GPM6BB","ENSG00000046653","GPM6B","ortholog_one2one"
"ENSDARG00000001686","UCKL1A","ENSG00000198276","UCKL1","ortholog_one2many"
"ENSDARG00000001710","FLOT1A","ENSG00000137312","FLOT1","ortholog_one2many"
"ENSDARG00000001712","S100P","ENSG00000197584","KCNMB2","ortholog_one2many"
"ENSDARG00000001721","OC90","ENSG00000253117","OC90","ortholog_one2one"
"ENSDARG00000001729","STRN3","ENSG00000196792","STRN3","ortholog_one2one"
"ENSDARG00000001733","GULP1A","ENSG00000144366","GULP1","ortholog_one2many"
"ENSDARG00000001734","FKBP8","ENSG00000105701","FKBP8","ortholog_one2one"
"ENSDARG00000001754","NOC2L","ENSG00000188976","NOC2L","ortholog_one2one"
"ENSDARG00000001760","TNXBA","ENSG00000168477","TNXB","ortholog_one2one"
"ENSDARG00000001767","SLC29A2","ENSG00000174669","SLC29A2","ortholog_one2many"
"ENSDARG00000001769","PTPRA","ENSG00000132670","PTPRA","ortholog_one2one"
"ENSDARG00000001771","OTOL1A","ENSG00000182447","OTOL1","ortholog_one2many"
"ENSDARG00000001776","STIM2B","ENSG00000109689","STIM2","ortholog_one2many"
"ENSDARG00000001777","NUP155","ENSG00000113569","NUP155","ortholog_one2one"
"ENSDARG00000001781","TSPAN11","ENSG00000110900","TSPAN11","ortholog_one2one"
"ENSDARG00000001782","PRKACBA","ENSG00000072062","PRKACA","ortholog_many2many"
"ENSDARG00000001782","PRKACBA","ENSG00000165059","PRKACG","ortholog_many2many"
"ENSDARG00000001782","PRKACBA","ENSG00000142875","PRKACB","ortholog_many2many"
"ENSDARG00000001785","IRX2A","ENSG00000170561","IRX2","ortholog_one2one"
"ENSDARG00000001788","ATP5PO","ENSG00000241837","ATP5PO","ortholog_one2one"
"ENSDARG00000001803","KCNH6A","ENSG00000143630","HCN3","ortholog_many2many"
"ENSDARG00000001803","KCNH6A","ENSG00000135519","KCNH3","ortholog_many2many"
"ENSDARG00000001804","ZGC:112148","ENSG00000171928","TVP23B","ortholog_many2many"
"ENSDARG00000001804","ZGC:112148","ENSG00000175106","TVP23C","ortholog_many2many"
"ENSDARG00000001807","TNFRSF21","ENSG00000146072","TNFRSF21","ortholog_one2one"
"ENSDARG00000001818","C3B.2","ENSG00000125730","C3","ortholog_one2many"
"ENSDARG00000001825","CFAP43","ENSG00000197748","CFAP43","ortholog_one2one"
"ENSDARG00000001829","ZGC:112982","ENSG00000173681","BCLAF3","ortholog_one2one"
"ENSDARG00000001835","NALCN","ENSG00000102452","NALCN","ortholog_one2one"
"ENSDARG00000001857","AFF4","ENSG00000072364","AFF4","ortholog_one2one"
"ENSDARG00000001859","DBX1B","ENSG00000109851","DBX1","ortholog_one2many"
"ENSDARG00000001870","ATP1A1A.4","ENSG00000163399","ATP1A1","ortholog_one2many"
"ENSDARG00000001873","PHGDH","ENSG00000092621","PHGDH","ortholog_one2one"
"ENSDARG00000001879","NAV2B","ENSG00000166833","NAV2","ortholog_one2many"
"ENSDARG00000001880","STX3B","ENSG00000166900","STX3","ortholog_one2many"
"ENSDARG00000001881","CACNB3A","ENSG00000167535","CACNB3","ortholog_one2many"
"ENSDARG00000001882","KBTBD12","ENSG00000187715","KBTBD12","ortholog_one2one"
"ENSDARG00000001888","PPM1BA","ENSG00000138032","PPM1B","ortholog_one2one"
"ENSDARG00000001890","STT3B","ENSG00000163527","STT3B","ortholog_one2one"
"ENSDARG00000001897","MAN2B1","ENSG00000104774","MAN2B1","ortholog_one2one"
"ENSDARG00000001898","MANEA","ENSG00000172469","MANEA","ortholog_one2one"
"ENSDARG00000001909","VILL","ENSG00000136059","VILL","ortholog_one2one"
"ENSDARG00000001913","PALMDA","ENSG00000099260","PALMD","ortholog_one2many"
"ENSDARG00000001929","PINK1","ENSG00000158828","PINK1","ortholog_one2one"
"ENSDARG00000001930","KLHL15","ENSG00000174010","KLHL15","ortholog_one2one"
"ENSDARG00000001939","B3GAT3","ENSG00000149541","B3GAT3","ortholog_one2one"
"ENSDARG00000001940","DNAJC1","ENSG00000136770","DNAJC1","ortholog_one2one"
"ENSDARG00000001950","AK1","ENSG00000106992","AK1","ortholog_one2one"
"ENSDARG00000001953","PFKFB3","ENSG00000170525","PFKFB3","ortholog_one2one"
"ENSDARG00000001968","DOCK5","ENSG00000147459","DOCK5","ortholog_one2one"
"ENSDARG00000001969","TXLNG","ENSG00000086712","TXLNG","ortholog_one2one"
"ENSDARG00000001971","CTHRC1B","ENSG00000164932","CTHRC1","ortholog_one2many"
"ENSDARG00000001975","HSD11B2","ENSG00000176387","HSD11B2","ortholog_one2one"
"ENSDARG00000001994","STXBP1A","ENSG00000136854","STXBP1","ortholog_one2many"
"ENSDARG00000001999","ADAMTS18","ENSG00000140873","ADAMTS18","ortholog_one2one"
"ENSDARG00000002002","LMCD1","ENSG00000071282","LMCD1","ortholog_one2one"
"ENSDARG00000002006","RXRBB","ENSG00000204231","RXRB","ortholog_one2many"
"ENSDARG00000002013","GRB10A","ENSG00000106070","GRB10","ortholog_one2many"
"ENSDARG00000002016","PPIL2","ENSG00000100023","PPIL2","ortholog_one2one"
"ENSDARG00000002020","RICTORB","ENSG00000164327","RICTOR","ortholog_one2many"
"ENSDARG00000002021","PYGB","ENSG00000100994","PYGB","ortholog_one2one"
"ENSDARG00000002026","QKIB","ENSG00000112531","QKI","ortholog_one2one"
"ENSDARG00000002031","TOX4A","ENSG00000092203","TOX4","ortholog_one2many"
"ENSDARG00000002037","PFKFB2B","ENSG00000123836","PFKFB2","ortholog_one2many"
"ENSDARG00000002060","BRF2","ENSG00000104221","BRF2","ortholog_one2many"
"ENSDARG00000002071","ADSS2","ENSG00000035687","ADSS2","ortholog_one2one"
"ENSDARG00000002077","MNAT1","ENSG00000020426","MNAT1","ortholog_one2one"
"ENSDARG00000002084","LAMB2","ENSG00000172037","LAMB2","ortholog_one2one"
"ENSDARG00000002127","STAM","ENSG00000136738","STAM","ortholog_one2one"
"ENSDARG00000002128","CWF19L1","ENSG00000095485","CWF19L1","ortholog_one2one"
"ENSDARG00000002131","CELF2","ENSG00000048740","CELF2","ortholog_one2many"
"ENSDARG00000002165","PSME1","ENSG00000092010","PSME1","ortholog_one2one"
"ENSDARG00000002167","CACNB1","ENSG00000067191","CACNB1","ortholog_one2one"
"ENSDARG00000002168","TRA2B","ENSG00000136527","TRA2B","ortholog_one2one"
"ENSDARG00000002174","ITFG2","ENSG00000111203","ITFG2","ortholog_one2one"
"ENSDARG00000002184","IGBP1","ENSG00000266826","IGBP1C","ortholog_one2many"
"ENSDARG00000002184","IGBP1","ENSG00000089289","IGBP1","ortholog_one2many"
"ENSDARG00000002190","CHMP2BB","ENSG00000083937","CHMP2B","ortholog_one2many"
"ENSDARG00000002192","ASPN","ENSG00000106819","ASPN","ortholog_one2one"
"ENSDARG00000002193","RHO","ENSG00000163914","RHO","ortholog_one2many"
"ENSDARG00000002194","RHD","ENSG00000187010","RHD","ortholog_one2many"
"ENSDARG00000002194","RHD","ENSG00000188672","RHCE","ortholog_one2many"
"ENSDARG00000002196","BACH1B","ENSG00000156273","BACH1","ortholog_one2many"
"ENSDARG00000002197","PYGL","ENSG00000100504","PYGL","ortholog_one2one"
"ENSDARG00000002204","HSPB9L","ENSG00000260325","HSPB9","ortholog_many2many"
"ENSDARG00000002210","STK25A","ENSG00000115694","STK25","ortholog_one2many"
"ENSDARG00000002213","INVS","ENSG00000119509","INVS","ortholog_one2one"
"ENSDARG00000002215","RTCA","ENSG00000137996","RTCA","ortholog_one2one"
"ENSDARG00000002216","TBX3A","ENSG00000135111","TBX3","ortholog_one2one"
"ENSDARG00000002217","SCOCB","ENSG00000153130","SCOC","ortholog_one2many"
"ENSDARG00000002220","C5H9ORF78","ENSG00000136819","C9ORF78","ortholog_one2one"
"ENSDARG00000002230","SYPB","ENSG00000102003","SYP","ortholog_one2many"
"ENSDARG00000002231","PLPP2A","ENSG00000141934","PLPP2","ortholog_one2many"
